year,engine,engine_win_count
1996.0,ferrari,3.0
1996.0,mercedes,0.0
1996.0,renault,12.0
1997.0,ferrari,5.0
1997.0,mercedes,3.0
1997.0,renault,9.0
1998.0,ferrari,6.0
1998.0,mercedes,9.0
1998.0,renault,0.0
1999.0,ferrari,6.0
1999.0,mercedes,7.0
1999.0,renault,0.0
2000.0,ferrari,10.0
2000.0,mercedes,7.0
2000.0,renault,0.0
2001.0,ferrari,9.0
2001.0,mercedes,4.0
2001.0,renault,0.0
2002.0,ferrari,15.0
2002.0,mercedes,1.0
2002.0,renault,0.0
2003.0,ferrari,8.0
2003.0,mercedes,2.0
2003.0,renault,1.0
2004.0,ferrari,15.0
2004.0,mercedes,1.0
2004.0,renault,1.0
2005.0,ferrari,1.0
2005.0,mercedes,10.0
2005.0,renault,8.0
2006.0,ferrari,9.0
2006.0,mercedes,0.0
2006.0,renault,8.0
2007.0,ferrari,9.0
2007.0,mercedes,8.0
2007.0,renault,0.0
2008.0,ferrari,9.0
2008.0,mercedes,6.0
2008.0,renault,2.0
2009.0,ferrari,1.0
2009.0,mercedes,10.0
2009.0,renault,6.0
2010.0,ferrari,5.0
2010.0,mercedes,5.0
2010.0,renault,9.0
2011.0,ferrari,1.0
2011.0,mercedes,6.0
2011.0,renault,12.0
2012.0,ferrari,3.0
2012.0,mercedes,8.0
2012.0,renault,8.0
2013.0,ferrari,2.0
2013.0,mercedes,3.0
2013.0,renault,13.0
2014.0,ferrari,0.0
2014.0,mercedes,16.0
2014.0,renault,3.0
2015.0,ferrari,3.0
2015.0,mercedes,16.0
2015.0,renault,0.0
2016.0,ferrari,0.0
2016.0,mercedes,19.0
2016.0,renault,0.0
2017.0,ferrari,5.0
2017.0,mercedes,12.0
2017.0,renault,0.0
2018.0,ferrari,6.0
2018.0,mercedes,11.0
2018.0,renault,0.0
2019.0,ferrari,3.0
2019.0,mercedes,15.0
2019.0,renault,0.0
2020.0,ferrari,0.0
2020.0,mercedes,14.0
2020.0,renault,0.0
